"","unique_squirrel_id","hectare","shift","date","hectare_squirrel_number","age","primary_fur_color","highlight_fur_color","combination_of_primary_and_highlight_color","location","lat_long","long","lat","activity","reaction","sounds"
"1707","15I-PM-1012-02","15I","2",2018-10-12,2,"2","1",NA,"Gray+","1","POINT (-73.965215665278 40.7761309082202)",-73.965215665278,40.7761309082202,"1","0","0"
"1708","36B-AM-1013-01","36B","1",2018-10-13,1,"1","1","White","Gray+White","1","POINT (-73.9604524271167 40.7956624328733)",-73.9604524271167,40.7956624328733,"2","2","0"
"1709","35A-AM-1014-02","35A","1",2018-10-14,2,"1","1","Cinnamon, White","Gray+Cinnamon, White","1","POINT (-73.9618486459307 40.7946365810826)",-73.9618486459307,40.7946365810826,"2","1","0"
"1710","4C-AM-1006-04","04C","1",2018-10-06,4,"2","1","White","Gray+White","1","POINT (-73.9771696835698 40.7697011100487)",-73.9771696835698,40.7697011100487,"2","1","0"
"1711","34I-AM-1012-04","34I","1",2018-10-12,4,"1","1","Cinnamon, White","Gray+Cinnamon, White","1","POINT (-73.9545438656122 40.7902168635009)",-73.9545438656122,40.7902168635009,"3","1","0"
"1712","4E-PM-1008-05","04E","2",2018-10-08,5,"1","1",NA,"Gray+","1","POINT (-73.975836799137 40.769159342847104)",-73.975836799137,40.7691593428471,"3","1","0"
"1713","3A-PM-1017-02","03A","2",2018-10-17,2,"1","2","White","Cinnamon+White","1","POINT (-73.9801899519657 40.7695777009264)",-73.9801899519657,40.7695777009264,"3","0","0"
"1714","4A-AM-1007-01","04A","1",2018-10-07,1,"1","1",NA,"Gray+","1","POINT (-73.97977158132 40.7706273151066)",-73.97977158132,40.7706273151066,"3","1","0"
"1715","9B-AM-1010-02","09B","1",2018-10-10,2,"2","1","Cinnamon","Gray+Cinnamon","2","POINT (-73.9763542780331 40.773653130362206)",-73.9763542780331,40.7736531303622,"4","2","0"
"1716","3G-AM-1008-03","03G","1",2018-10-08,3,"1","1",NA,"Gray+","2","POINT (-73.9745709109056 40.7672225695415)",-73.9745709109056,40.7672225695415,"1","1","0"
"1717","1B-AM-1012-02","01B","1",2018-10-12,2,"1","2","Gray","Cinnamon+Gray","1","POINT (-73.9797425262459 40.7679120246352)",-73.9797425262459,40.7679120246352,"1","1","0"
"1718","12E-AM-1017-02","12E","1",2018-10-17,2,"1","1","White","Gray+White","1","POINT (-73.9714952092767 40.7748063281815)",-73.9714952092767,40.7748063281815,"1","1","0"
"1719","15F-PM-1010-04","15F","2",2018-10-10,4,"1","1",NA,"Gray+","1","POINT (-73.9682676237703 40.7772653590224)",-73.9682676237703,40.7772653590224,"3","1","0"
"1720","40D-AM-1013-02","40D","1",2018-10-13,2,"1","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.955429970986 40.7978168629875)",-73.955429970986,40.7978168629875,"1","1","0"
"1721","7F-PM-1012-02","07F","2",2018-10-12,2,"1","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.9725844658514 40.7701092834201)",-73.9725844658514,40.7701092834201,"2","0","0"
"1722","32F-AM-1012-02","32F","1",2018-10-12,2,"1","1","Cinnamon, White","Gray+Cinnamon, White","1","POINT (-73.9587330707463 40.7907682009641)",-73.9587330707463,40.7907682009641,"0","3","0"
"1723","2B-AM-1010-05","02B","1",2018-10-10,5,"1","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.9802564685265 40.7681759098199)",-73.9802564685265,40.7681759098199,"3","1","0"
"1724","12A-AM-1008-01","12A","1",2018-10-08,1,"1","1",NA,"Gray+","2","POINT (-73.9747959143543 40.7768078174366)",-73.9747959143543,40.7768078174366,"4","1","0"
"1725","4A-AM-1007-02","04A","1",2018-10-07,2,"1","1",NA,"Gray+","1","POINT (-73.9795492724533 40.7709497471738)",-73.9795492724533,40.7709497471738,"3","1","0"
"1726","14I-PM-1018-04","14I","2",2018-10-18,4,"1","2","Gray","Cinnamon+Gray","1","POINT (-73.9657480066074 40.7753465489231)",-73.9657480066074,40.7753465489231,"2","3","0"
"1727","9I-AM-1014-08","09I","1",2018-10-14,8,"1","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.9686479277215 40.7705815354769)",-73.9686479277215,40.7705815354769,"3","0","0"
"1728","10H-PM-1007-01","10H","2",2018-10-07,1,"1","1","White","Gray+White","2","POINT (-73.9692472299565 40.7722592187215)",-73.9692472299565,40.7722592187215,"4","1","0"
"1729","2C-PM-1013-05","02C","2",2018-10-13,5,"1","1","White","Gray+White","1","POINT (-73.9787846880249 40.7682545903488)",-73.9787846880249,40.7682545903488,"3","0","0"
"1730","8B-AM-1007-04","08B","1",2018-10-07,4,"1","1",NA,"Gray+","2","POINT (-73.9765046109019 40.7736674124746)",-73.9765046109019,40.7736674124746,"4","1","0"
"1731","4A-PM-1007-04","04A","2",2018-10-07,4,"1","1","White","Gray+White","1","POINT (-73.9796142848349 40.7702117898305)",-73.9796142848349,40.7702117898305,"3","1","0"
